Comment,Designator,Footprint,LCSC
10,R1,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
TestPoint,TP28,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP27,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP26,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP25,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP24,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP23,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP22,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP21,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP20,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP19,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP18,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP17,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP16,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP15,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP14,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP13,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP12,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP11,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP10,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP9,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP8,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP7,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP6,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP5,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP4,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP3,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP2,TestPoint_Keystone_5010-5014_Multipurpose,
TestPoint,TP1,TestPoint_Keystone_5010-5014_Multipurpose,
0.1,R13,R_1206_3216Metric,
1,R26,R_0805_2012Metric,
1,R25,R_0805_2012Metric,
1,R24,R_0805_2012Metric,
1,R23,R_0805_2012Metric,
1,R22,R_0805_2012Metric,
1,R21,R_0805_2012Metric,
1,R20,R_0805_2012Metric,
1,R19,R_0805_2012Metric,
1,R18,R_0805_2012Metric,
1,R17,R_0805_2012Metric,
1,R16,R_0805_2012Metric,
1,R15,R_0805_2012Metric,
1,R14,R_0805_2012Metric,
10,R12,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R11,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R10,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R9,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R8,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R7,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R6,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R5,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R4,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R3,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
10,R2,R_Axial_DIN0918_L18.0mm_D9.0mm_P22.86mm_Horizontal,
Screw_Terminal_01x13,J4,TerminalBlock_Xinya_XY308-2.54-13P_1x13_P2.54mm_Horizontal,
Screw_Terminal_01x02,J3,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,
