Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3v3IN1,~,TestPoint_Keystone_5019_Minature,76.175,-96.0,90.0,top
3v3OUT1,~,TestPoint_Keystone_5019_Minature,73.225,-96.0,90.0,top
ALRT1,~,TestPoint_Keystone_5019_Minature,103.65,-80.9,90.0,top
BATT3,~,TestPoint_Keystone_5019_Minature,34.65,-91.9,90.0,top
BUT1,~,TestPoint_Keystone_5019_Minature,50.7,-86.9,0.0,top
C1,100nF,C_0402_1005Metric,113.6,-78.1,0.0,top
C10,220nF 50V,C_0402_1005Metric,121.5,-79.0,90.0,top
C11,220nF 50V,C_0402_1005Metric,122.6,-79.0,90.0,top
C12,220nF 50V,C_0402_1005Metric,119.7,-78.1,180.0,top
C13,100nF,C_0603_1608Metric,18.75,-93.25,180.0,top
C14,220nF 50V,C_0402_1005Metric,115.7,-78.1,180.0,top
C16,220nF 50V,C_0402_1005Metric,117.7,-78.1,0.0,top
C17,1u 100V,C_0805_2012Metric,125.0,-90.2,-90.0,top
C18,100pF 100V,C_0805_2012Metric,127.1,-90.2,-90.0,top
C19,0.47uF 50V,C_0805_2012Metric,121.425,-89.625,180.0,top
C2,220nF 50V,C_0402_1005Metric,121.5,-87.0,90.0,top
C20,100pF,C_0402_1005Metric,460.295,-81.275,0.0,bottom
C21,100pF,C_0402_1005Metric,327.31,-81.0,0.0,bottom
C22,10u,C_0402_1005Metric,40.3,-97.2,0.0,top
C23,2.2uF,C_0402_1005Metric,111.3,-78.56,-90.0,top
C24,100nF,C_0603_1608Metric,21.8,-93.25,180.0,top
C25,47nF 100V,C_0805_2012Metric,10.79,-82.87,0.0,top
C26,100nF,C_0402_1005Metric,53.7,-90.0,0.0,top
C27,1uF,C_0402_1005Metric,54.2,-93.9,-90.0,top
C28,100pF,C_0402_1005Metric,136.22,-95.65,180.0,bottom
C29,100nF,C_0402_1005Metric,40.3,-98.5,0.0,top
C3,220nF 50V,C_0402_1005Metric,122.6,-87.0,90.0,top
C30,10u,C_0402_1005Metric,64.8,-98.8,0.0,top
C31,100nF,C_0402_1005Metric,64.8,-97.7,0.0,top
C32,100nF,C_0402_1005Metric,52.6,-97.3,0.0,top
C33,10u,C_0402_1005Metric,55.0,-97.3,0.0,top
C34,100nF,C_0402_1005Metric,67.225,-90.55,180.0,top
C35,15pF,C_0402_1005Metric,51.5,-88.9,0.0,top
C36,15pF,C_0402_1005Metric,51.5,-94.5,0.0,top
C37,10u,C_0402_1005Metric,53.7,-88.9,0.0,top
C39,22nF,C_0402_1005Metric,108.32,-87.5,0.0,top
C4,220nF 50V,C_0402_1005Metric,121.5,-85.0,90.0,top
C40,1uF,C_0805_2012Metric,99.175,-86.0,-90.0,top
C41,1uF,C_0402_1005Metric,108.32,-85.3,0.0,top
C42,1uF,C_0402_1005Metric,108.32,-86.4,0.0,top
C5,220nF 50V,C_0402_1005Metric,122.6,-85.0,90.0,top
C6,220nF 50V,C_0402_1005Metric,121.5,-83.0,90.0,top
C7,220nF 50V,C_0402_1005Metric,122.6,-83.0,90.0,top
C8,220nF 50V,C_0402_1005Metric,121.5,-81.0,90.0,top
C9,220nF 50V,C_0402_1005Metric,122.6,-81.02,90.0,top
D1,BAT54SW,SOT-323_SC-70,48.6,-89.7,0.0,top
D10,LED,LED_0402_1005Metric,37.825,-98.975,0.0,top
D11,LED,LED_0402_1005Metric,37.8,-96.7,0.0,top
D12,ESD9B3.3ST5G,D_SOD-923,66.6,-94.1,-90.0,top
D13,ESD9B3.3ST5G,D_SOD-923,66.6,-92.1,90.0,top
D15,LED,LED_0402_1005Metric,67.3,-97.9,180.0,top
D16,BAT54SW,SOT-323_SC-70,65.8,-88.5,180.0,top
D17,LED,LED_0402_1005Metric,70.325,-97.9,180.0,top
D18,PMEG10010ELR,Nexperia_CFP3_SOD-123W,95.7,-84.7,180.0,top
D19,ESD5Z12T1G,D_SOD-523,40.6,-94.0,-90.0,top
D2,PMEG10010ELR,Nexperia_CFP3_SOD-123W,116.7,-92.1,180.0,top
D20,ESD9B3.3ST5G,D_SOD-923,46.0,-90.6,180.0,top
D21,SMAJ54CA,D_SMA,15.0,-88.8,-90.0,top
D22,ESD5Z12T1G,D_SOD-523,39.0,-94.0,-90.0,top
D4,ESD9B3.3ST5G,D_SOD-923,69.0,-94.28,90.0,top
D5,"BZX585-C16,115",D_SOD-523,35.2,-88.1825,-90.0,top
D6,"BZX585-C16,115",D_SOD-523,21.2,-83.6,90.0,top
D7,"BZX585-C16,115",D_SOD-523,24.991965,-83.7,90.0,top
D8,1N4448W,D_SOD-123,32.7,-83.1,0.0,top
D9,PMEG10010ELR,Nexperia_CFP3_SOD-123W,32.7,-85.5,0.0,top
F1,SF-1206HHA3000R-2,R_2010_5025Metric,28.3,-94.1,0.0,top
F2,BEL Fuse 0ZCJ0005FF2E 50mA 60VDC,Fuse_1206_3216Metric,112.0,-92.1,0.0,top
FB1,BLM18PG471SN1D,L_0603_1608Metric,53.2,-95.8,0.0,top
J1,532610571,CONN_532610001-SD_05_MOL,74.80225,-88.44505,30.0,top
J3,532610471,CONN_532610001-SD_04_MOL,42.098798,-87.428652,30.0,top
L2,APCW3216-221P2T,L_CommonMode_Wurth_WE-CNSW-1206,42.609554,-94.75,-90.0,top
MOSFET1,DMTH6002LPS-13,POWERDI5060-8_K_DIO,29.4,-89.5,180.0,top
MOSFET2,DMTH6002LPS-13,POWERDI5060-8_K_DIO,21.59745,-89.5,0.0,top
Q1,FCX495TA,SOT-89-3,102.9,-85.9,180.0,top
Q3,2N7002,SOT-23,18.8,-84.6875,-90.0,top
R1,0,R_0402_1005Metric,125.0,-87.2,-90.0,top
R10,20,R_1206_3216Metric,291.7875,-80.8,0.0,top
R11,20,R_1206_3216Metric,348.25,-81.0,180.0,top
R12,20,R_1206_3216Metric,476.3,-93.9,180.0,top
R13,20,R_1206_3216Metric,428.0,-80.8,0.0,top
R14,20,R_1206_3216Metric,484.0,-80.25,180.0,top
R15,120,R_0402_1005Metric,127.4,-86.6,0.0,top
R16,120,R_0402_1005Metric,127.4,-87.7,180.0,top
R17,10k,R_0402_1005Metric,108.3,-83.1,0.0,top
R18,10k,R_0402_1005Metric,108.3,-84.2,180.0,top
R19,120,R_1206_3216Metric,121.4,-92.1,0.0,top
R2,20,R_1206_3216Metric,87.75,-98.0,0.0,top
R20,1.5k,R_0402_1005Metric,108.3,-80.9,180.0,top
R21,1.5k,R_0402_1005Metric,108.3,-79.8,180.0,top
R22,120,R_0402_1005Metric,68.2,-88.1,90.0,top
R23,10k,R_0402_1005Metric,108.3,-82.0,0.0,top
R24,220K,R_0402_1005Metric,33.87,-88.11,-90.0,top
R25,5.1K,R_0402_1005Metric,35.65,-85.525,-90.0,top
R26,220K,R_0402_1005Metric,22.45,-83.714291,90.0,top
R27,5.1K,R_0402_1005Metric,28.430132,-83.69,-90.0,top
R28,5.1K,R_0402_1005Metric,29.703719,-83.709693,90.0,top
R29,220K,R_0402_1005Metric,23.6,-83.714291,90.0,top
R3,20,R_1206_3216Metric,90.8,-88.8625,90.0,top
R30,10k,R_0402_1005Metric,26.292661,-83.69,-90.0,top
R31,7.5k,R_0402_1005Metric,27.351218,-83.69,-90.0,top
R32,1k,R_0402_1005Metric,55.7,-88.9,0.0,top
R33,1.5k,R_0402_1005Metric,50.2,-98.55,0.0,top
R34,1.5k,R_0402_1005Metric,37.7,-94.1,90.0,top
R35,10k,R_0402_1005Metric,54.99,-98.55,180.0,top
R37,1.5k,R_0402_1005Metric,66.7,-96.2,90.0,top
R38,1.5k,R_0402_1005Metric,67.8,-96.2,90.0,top
R39,330,R_1206_3216Metric,95.7,-87.3,0.0,top
R4,20,R_1206_3216Metric,88.25,-79.0,0.0,top
R40,0.010,R_2512_6332Metric,135.6,-88.5,180.0,top
R41,120,R_0402_1005Metric,42.611021,-97.924918,180.0,top
R42,1.5k,R_0402_1005Metric,50.202594,-95.8,0.0,top
R43,120,R_0402_1005Metric,67.8,-92.1,90.0,top
R44,120,R_0402_1005Metric,67.8,-94.1,-90.0,top
R45,330,R_0402_1005Metric,53.7,-91.1,0.0,top
R46,330,R_0402_1005Metric,53.7,-92.1,0.0,top
R47,1,R_0402_1005Metric,53.2,-93.9,90.0,top
R48,10k,R_0402_1005Metric,50.2,-97.3,0.0,top
R49,1,R_0402_1005Metric,69.0,-96.2,-90.0,top
R5,20,R_1206_3216Metric,142.85,-80.8,180.0,top
R50,10k,R_0402_1005Metric,52.585,-98.55,180.0,top
R51,5.1k,R_0402_1005Metric,106.3,-92.7,0.0,top
R52,5.1k,R_0402_1005Metric,104.3,-92.7,0.0,top
R53,5.1k,R_0402_1005Metric,104.31,-91.5,0.0,top
R54,5.1k,R_0402_1005Metric,106.3,-91.5,0.0,top
